rank.sign.logp.heart	rank.sign.logp.lung	rank.sign.logp.kidney	rank.sign.logp.spleen
8031	6176	10074	10888
3363	2766	7673	1436
9668	11693	10446	10776
1721	1017	43	637
14656	10842	14431	13524
12251	5103	3162	13029
14078	10882	14336	13104
8926	1540	4777	5247
2691	1937	1687	2167
3675	182	6938	12201
12416	6193	866	10968
2300	12715	14249	12764
11621	5172	2266	6066
14578	14300	12652	11835
14687	14829	15275	14343
7968	13176	10455	11595
15150	15188	14489	15284
13647	13223	5031	13515
10761	8964	13242	8179
7917	4079	1638	2082
3962	3032	12265	3412
2051	522	1790	850
9817	10901	10145	4362
10051	4382	766	13720
6309	5823	2891	13301
14850	6093	7584	12633
14727	12646	6786	11681
10634	7923	1083	4661
12076	8172	10008	10810
2727	15466	5763	6302
2	315	8565	4
892	5664	3539	1936
1857	1872	10526	4836
9786	9851	11734	7956
278	4203	3863	9651
530	987	761	713
8270	8558	8480	10490
9912	9020	10930	5692
10773	15138	15214	14372
14689	15039	3008	5751
8433	12795	11826	3465
2591	8591	11061	10305
3514	2085	1022	1305
6043	623	3299	1069
12007	13268	7064	14431
877	19	1970	399
6115	7744	1612	3345
13443	7385	10635	8449
11553	13942	13049	11069
1228	1310	1542	819
13129	9136	6102	3978
6770	6981	9975	5385
7882	12266	13272	11708
14840	14892	13521	14483
5325	3446	9288	5488
6552	9465	9025	10558
13705	13028	13916	13236
11649	13872	11844	12150
5239	7327	7802	3637
1863	4622	3206	12738
2948	3065	1744	878
275	1941	1492	3157
5945	11785	11382	4020
2941	2646	3587	2680
2879	7328	6567	9890
14462	14466	13290	15334
3410	1275	9808	4671
13500	14454	12885	14306
949	515	5623	1826
13865	13292	11433	14636
10604	12071	14119	12867
8017	5736	9006	10015
15152	4663	9891	12710
9908	10862	7638	8103
6369	8311	7022	7795
10550	10090	8447	6590
9187	10866	8251	8240
11370	14515	14483	15338
7694	10698	8343	8309
4537	730	7058	3615
14642	8183	13133	12598
3813	85	3205	8711
7458	3955	4388	8463
12632	4782	6894	9625
15019	15445	15419	15354
6067	5414	9639	3922
11008	15267	11251	15182
14793	12474	8826	13271
6941	6340	10823	12263
6217	14085	9209	12086
8759	7529	12793	12442
7178	11343	7780	11398
14167	10483	10546	10603
9861	8374	13204	11077
12775	9111	7814	4087
6412	5893	15240	4235
12205	13802	12632	12027
8068	5298	3732	8620
504	3674	10598	6759
3127	5442	14954	10730
1024	6013	13888	12880
3648	3910	12406	8733
15335	15328	14191	14022
15369	15134	13451	14581
8796	13630	1603	11178
12756	12126	12864	14428
14606	12913	15060	14003
15232	12610	14282	14544
11805	11588	14112	12007
8409	6112	7281	8795
10959	11353	13261	13343
2985	1644	4885	3830
14086	14140	13065	13835
10463	13693	13803	11067
1373	6124	3214	11230
4568	8991	4541	6251
5083	3564	7594	5165
2684	13654	11334	14145
12524	14106	14946	13242
5219	8010	12524	12787
15377	15119	15325	14610
6183	11918	15236	14532
5872	13256	7201	7930
14824	11745	11672	14108
7820	8940	12842	11853
11770	11851	8569	7199
5195	6818	6426	7206
1222	485	6547	1090
7240	6917	7424	2921
8486	8063	6530	8972
11132	14484	15049	13691
3749	5150	2135	9971
10737	10744	10579	14630
7925	7053	9966	13869
6922	3347	4968	3736
3449	123	3807	1947
4436	911	4584	7976
2431	9055	13199	3728
9743	8410	2236	9106
12476	8711	11314	9802
4343	11808	9385	8077
11863	11265	11876	6641
12429	7956	14464	9964
11686	14108	13918	14727
4630	4865	13172	13144
12667	14152	15065	11718
13742	8937	8737	13384
2853	2376	8854	10658
13609	15365	14987	15406
6042	9607	12188	12038
4251	12140	8623	11643
8744	6888	13373	7510
5349	4072	4871	7494
2956	260	535	9561
8150	4311	7502	8772
100	494	53	25
8802	3752	3848	8176
5965	328	8376	7805
5587	11628	788	11424
6248	9574	3072	13057
7761	4826	3256	4737
4978	144	2963	1549
10178	7233	2075	7918
14310	9707	2214	12063
2852	171	3358	525
7248	14392	11904	6123
10027	7448	6136	4983
10873	7598	10737	10674
12130	11153	8413	9672
7169	10055	3997	4400
11259	12617	5892	7238
1868	9757	10160	8763
6098	4702	6099	3287
6439	5503	9357	5960
14752	13424	13175	14229
9663	11640	5965	11815
2561	14191	9628	5145
11756	10409	3398	8683
6173	3386	11292	2784
11961	11697	10582	12698
12479	10993	8545	12816
5970	12398	8717	12009
12927	9362	11417	10218
10318	11470	8664	12122
4983	9766	6896	10175
9724	11574	11159	12902
2658	10779	3064	4368
8894	14354	4898	6196
14354	15092	13089	15130
10221	9928	4756	7095
3519	1324	1788	390
3376	9171	1633	6796
9965	8640	7285	7005
6869	12161	14840	10092
13014	13749	5025	13569
4323	4939	2158	6563
14574	13556	14996	13725
469	1109	647	8307
4097	6486	14909	7123
4623	11540	13890	13713
15029	13352	14085	14622
4019	10320	6377	11175
7967	15241	8555	10961
12590	7032	5033	8534
458	2966	674	3082
11766	10912	2042	9938
12722	8267	3589	5253
8557	11267	2116	9541
5342	12323	6243	11472
6156	2323	903	941
1086	859	1116	7143
11512	14233	12133	15127
15156	14711	14481	14243
13944	14983	11223	13653
6126	10009	7401	5833
11967	10755	4895	8494
8335	6261	8538	10492
10403	14101	14743	14749
5878	3747	14352	10768
2990	793	2057	2168
13036	11235	5234	4560
2619	3584	3245	2457
1147	1569	3397	3887
11861	8615	13318	13287
6427	9924	6234	7104
3830	865	4391	7722
10910	8763	13768	14948
13912	14208	14899	14800
9472	12102	14316	13105
3268	6345	13975	11995
8314	9719	5903	9289
10211	4003	2897	4140
13137	11426	4099	13541
3695	3142	11463	1387
3284	3046	1577	2381
5043	3267	3128	3028
15454	15036	14870	15318
9924	10230	4891	9319
12165	12485	9514	11907
13104	1475	9204	3074
10568	14798	5161	11859
6762	6036	4401	8130
13077	14117	4010	14781
12382	6483	4702	1464
11969	9173	9831	3194
13914	9027	6784	11139
4342	4566	1381	13123
13686	14584	13942	14043
4728	3250	3659	3229
10047	4908	15002	2953
12460	13462	10233	9341
12586	11820	12991	9713
1384	6520	3122	9052
405	690	958	620
371	2862	2570	4117
9770	8366	5057	7900
10610	12600	10611	10478
3641	5178	2478	2529
8701	4922	4705	3673
3164	3404	7813	217
3701	3416	7875	6477
1363	648	11030	1144
11607	12368	12744	7949
4242	14911	10748	4414
13672	15018	10141	14064
5726	9763	4954	9440
1263	1575	4394	813
3778	2907	8297	3836
3994	421	5584	18
3957	2800	4494	7932
1408	3633	1237	2200
14779	9417	9164	6614
3953	10934	11145	8845
3104	2141	1425	6831
7549	5786	13833	6340
4691	1949	909	493
1528	4282	3602	3137
1055	1748	4497	1028
8011	11942	8723	10176
7451	4225	4639	14652
9745	12384	8973	9507
10497	11477	4324	11329
795	3042	461	4352
4582	6032	4177	6958
4989	6640	2779	4926
3405	1503	1231	4427
755	9696	6260	13639
9041	4736	10856	4455
3002	2599	1024	1248
10937	5381	3776	5282
8519	6839	10067	5087
5457	5889	3486	8498
11446	12202	11490	13386
13307	12050	12334	13683
2206	2805	2531	3289
230	333	9970	2047
15240	13358	15251	14174
8142	3389	7015	7620
5138	7245	11204	7311
5857	10189	9122	10835
3221	2226	13895	5584
3988	5520	12352	3652
12458	8067	11297	11236
15271	14261	15284	14492
15242	15269	15367	15421
5057	4596	5805	4300
2589	4365	3203	2865
2410	2334	1794	1741
12576	10610	3134	3515
14116	15111	14609	14708
7475	7462	6382	5278
1771	1186	147	1050
265	1613	1120	8607
240	2238	4266	4903
8092	11119	2722	4484
3674	1593	1418	2752
7409	5227	7769	4776
4833	2519	2639	2376
214	9906	3742	5957
2976	5115	10956	6206
41	55	81	2990
12868	10753	3133	9022
11710	13363	6147	14650
13656	13672	3709	9356
11440	8043	4631	5706
7680	5205	13907	11107
78	1614	3035	1621
13341	10267	4192	8074
659	3359	12925	7924
2159	4393	2006	6571
14543	6671	2070	5156
11414	8816	3528	5134
12106	12129	3651	11099
1541	4236	12020	7914
3643	768	12010	5028
2687	5723	8101	3532
2501	1930	5347	2173
2299	1753	7359	2512
4237	9065	3202	9562
14091	7925	11924	11892
2430	5832	8141	9717
14988	15160	11850	14538
9307	10696	2105	6648
2662	189	1477	2306
6387	1966	4635	3020
9621	9134	5098	6628
6594	7634	7716	10413
13779	14240	2984	12677
13809	12107	9224	14608
11739	10465	7457	12513
12831	4087	10906	7888
10259	8455	1797	14083
15353	14496	13824	13736
3342	5263	1585	473
7807	9969	10030	4216
3512	8320	5387	7570
12985	12084	4555	14668
5406	6768	7328	2705
10488	8614	2164	5760
7538	4895	5538	11520
3876	3080	6247	3053
7187	9569	13529	12620
2970	14419	9564	13427
312	1118	2103	1904
12719	11368	8277	14192
1971	5122	7527	3721
2199	1898	1403	1713
8545	3812	2634	9410
2794	1998	3688	2753
2849	6557	1366	3523
12056	11014	13682	12600
7000	8577	8387	3075
5733	6398	3183	5179
3498	8379	8603	3642
14776	14547	6065	14765
5302	7998	7479	10712
1445	10395	1623	3788
2371	5413	3216	4538
2604	5858	11092	4705
10949	4278	9140	3634
7188	12724	6892	8290
6716	8292	7132	7873
7222	3453	4458	5174
2789	9826	11614	11931
4489	4286	9656	4201
10924	11199	12478	13547
10191	8756	14627	14332
12592	10761	6352	10370
15279	14980	12125	11363
7267	11556	13879	14135
13734	8008	5704	11337
15397	15303	15455	15007
9147	6649	9849	9162
6465	2874	2538	1546
3896	5814	4081	2232
1780	9667	2140	6725
11501	10623	13401	9173
15344	14934	13385	15032
2375	1528	953	2553
6836	3929	8463	6130
8163	7844	6633	7476
13794	13837	2591	12769
13322	9502	14293	11202
13528	9064	3080	12824
13482	8052	8009	8629
7376	10005	5982	8639
8416	12144	10237	12055
8297	11742	12540	4013
2929	7009	5676	9685
14378	11606	8438	11383
14209	14338	12379	14363
7459	7573	1285	9357
10159	6822	12737	13419
6822	4896	7128	5836
13517	9050	12560	12654
14959	15069	14430	12960
7292	5341	5363	6720
10384	12284	14424	14386
14073	14063	12297	13361
4278	844	10564	4289
12176	12910	11572	13818
12624	10726	8921	3654
7979	12396	2789	14278
3764	6225	1847	3076
11814	4097	11165	7719
91	105	2352	1110
10164	12449	1278	10747
7144	2968	415	425
2441	4248	3790	3052
5838	9058	720	8219
11213	11662	9555	9444
9364	2048	2630	678
11143	11132	12290	5708
10696	8313	4389	2401
6420	1125	2085	9073
9473	10639	6720	13154
11049	8790	4785	5484
221	887	2792	3539
280	1612	2178	2358
3412	4552	12765	5984
1019	8222	9044	6037
894	4218	6284	3756
3787	8859	11818	11156
12582	8971	11117	10982
4389	6881	2183	8012
973	3943	3718	4118
8514	4396	4000	5542
7661	9232	9619	7434
1217	11534	10761	8533
8689	6131	14904	13039
14498	6874	8355	11657
9439	7305	7104	9926
8054	8550	10617	9777
7138	3922	3330	3696
3162	756	8529	2701
14298	8288	13806	8890
1150	1424	3908	6274
8874	8966	9993	9506
9010	11567	10411	11654
12817	9953	5064	10842
5488	10458	10138	10347
1497	3111	1306	3335
5384	4496	8259	3722
9670	5430	6170	4925
12052	12594	14779	12562
15289	14056	15294	14901
4480	4832	10971	5986
9319	8758	2039	8433
15314	14787	14556	14390
12357	9893	1505	10003
11409	13023	13147	14546
15255	14926	15421	14750
13773	7569	10167	9650
11364	7421	8260	7747
8140	9008	5198	11738
4348	12918	13568	13145
5120	12811	15400	14512
4023	5140	11909	5551
7958	9085	8962	11904
4147	6745	6882	10780
3242	2469	11919	6386
15112	10094	3887	12331
11119	9812	6816	10501
9003	1302	3624	10143
5651	13679	8643	11266
2273	10711	9321	992
11753	11243	13487	13254
13645	13517	6637	14896
6089	6458	1454	8222
9358	9685	13790	6010
12505	9995	4432	8183
1905	631	2698	5716
1319	1739	4189	860
10738	10773	10674	10157
14772	14684	14932	15405
13988	12591	11786	8964
4259	5480	7318	8379
1246	8686	8050	8506
10877	12467	6795	8013
11228	15301	10735	9868
7448	7606	2850	7504
4477	7556	5793	8792
8504	9643	7907	9504
13921	13869	7277	7256
9280	14044	13715	14319
4649	9677	4338	5961
12926	9456	12284	9009
8830	12498	12403	12429
13328	13123	15175	13358
6292	1014	4848	5131
3716	4582	13119	7815
5189	5475	6316	6918
8498	2090	6531	7659
4821	7571	7973	5703
2047	8357	6415	6523
10066	914	5582	4312
6653	3653	12418	7647
7501	7465	8471	8539
11150	15132	14977	15083
8355	10355	12821	5240
471	1584	4340	348
13991	13897	13448	7158
7086	1441	2213	1011
7675	14267	11450	13132
4276	6236	12888	13605
497	530	5973	2655
1300	39	1178	1956
15372	14920	14079	15184
2753	7866	933	9872
104	325	1637	246
1768	4575	8287	3477
8845	183	1737	183
59	678	1615	2
7800	747	7494	397
10053	1348	5606	692
4324	2008	1883	2561
7210	13722	13186	11642
4362	4446	536	12629
5136	460	2764	2152
14503	14683	14897	15322
9771	10052	9621	11307
15228	11374	11027	12631
6760	7721	3966	6536
5362	10910	11294	9178
7514	8692	8162	5453
7859	8099	3180	11312
10371	9022	11406	11331
5813	2510	9008	2057
14607	14930	15085	14937
9946	8668	8803	5114
8440	2432	6591	5498
563	1549	39	1272
1457	12757	9481	11507
10246	11439	5978	9280
15226	15434	13713	15366
12836	12545	6067	9076
6483	2992	7994	3090
5914	3511	3800	2350
2584	2014	547	451
14088	4998	11185	2482
9552	5325	6877	7084
14811	13819	14543	13930
5145	1338	1978	1424
9505	5407	12037	12046
2014	3178	5298	4682
12443	10606	3993	12130
10627	6056	8635	6020
13980	11279	13674	13234
12793	12015	14342	13623
6012	1558	2320	1776
9848	13349	5012	12573
3299	3481	3737	3088
13103	11043	10063	11306
14534	15325	15249	15235
5647	8513	10169	8971
7600	12277	11871	13505
7117	5970	11261	10036
11694	13705	2455	12229
9220	3004	6697	8721
14272	14715	9858	14966
2482	5415	12315	10225
7315	4982	14023	8226
9427	10769	10840	9775
5518	6555	8771	9371
5318	4479	2442	3569
1848	521	1001	221
13551	3818	3453	3410
8671	13986	10766	14260
12080	7472	5108	9268
10268	13020	9720	12179
6491	2490	1803	857
2991	3686	1400	1821
5113	6339	9273	3458
15457	4701	1941	6997
15458	4082	2818	4323
1565	3155	5406	7778
1198	1015	9928	1809
461	369	1038	1427
14541	11137	12749	3945
11471	8033	1347	6034
8851	8401	10606	3440
11601	10254	6890	10943
10290	3197	13174	11726
792	9631	637	5700
15142	13465	14780	13437
11354	11427	12169	12681
14054	6077	8170	11786
